city,division,description,link,House No.,Flat No.,Area,Price per month,Number of rooms ,Floor,No. of floors,Build year,Building type,Heating system,energy_class,Nearest kindergarten,Nearest educational institution,Nearest shop,Public transport stop
,,,,,,,,,,,,,,,,,,
Vilnius,Žvėrynas,"Vilnius, Žvėrynas, Lūšių g., 4 rooms flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-zveryne-lusiu-g-nuomojamas-4-kambariu-90-kvm-butas-zveryne-4-1100225/,25,19,90 m²,850 €,4,3,4,2003,Brick,Gas,,290 m,350 m,340 m,290 m
Vilnius,Naujamiestis,"Vilnius, Naujamiestis, Savanorių pr., 2 rooms flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-savanoriu-pr-isnuomojamas-2-kambariu-butas-su-vilniaus-4-1093623/,1,,90 m²,1 000 €,2,8,27,2007,Monolithic,"Central, central thermostat",1 Class Good (1-3),240 m,180 m,460 m,80 m
Vilnius,Šnipiškės,"Vilnius, Šnipiškės, Juozo Balčikonio g., 1 room flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-snipiskese-juozo-balcikonio-g-atsilaisvina-nuo-spalio-27-d-kvieciame-4-1006669/,19,,36 m²,530 €,1,3,5,2020,Brick,Central thermostat,,270 m,880 m,520 m,380 m
Vilnius,Šnipiškės,"Vilnius, Šnipiškės, Juozo Balčikonio g., 1 room flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-snipiskese-juozo-balcikonio-g-atsilaisvina-nuo-lapkricio-11-d-4-1006673/,19,,24 m²,450 €,1,3,5,2020,Brick,Central thermostat,,270 m,880 m,520 m,380 m
Vilnius,Šnipiškės,"Vilnius, Šnipiškės, Juozo Balčikonio g., 1 room flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-snipiskese-juozo-balcikonio-g-laisvas-nuo-lapkricio-12-d-kvieciame-4-1006679/,19,,29 m²,480 €,1,3,5,2020,Brick,Central thermostat,,270 m,880 m,520 m,380 m
Vilnius,Šnipiškės,"Vilnius, Šnipiškės, Kalvarijų g., 1 room flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-snipiskese-kalvariju-g-isnuomojamas-kapitaliai-suremontuotas-butas-4-1031223/,57A,,32 m²,450 €,1,2,5,1975,Brick,Central,1 Class Good (1-3),130 m,300 m,110 m,130 m
Vilnius,Šnipiškės,"Vilnius, Šnipiškės, Konstitucijos pr., 2 rooms flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-snipiskese-konstitucijos-pr-isnuomojamas-naujutelis-butas-tower-name-4-1067297/,15,,"53,84 m²",900 €,2,5,29,2019,Monolithic,"Electric, central thermostat",1 Class Good (1-3),330 m,150 m,250 m,120 m
Vilnius,Naujamiestis,"Vilnius, Naujamiestis, Smolensko g., 1 room flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-smolensko-g-chapters-co-living-naujas-busto-nuomos-4-1084905/,12,,17 m²,445 €,1,2,4,2021,Brick,Central,,130 m,70 m,140 m,230 m
Vilnius,Senamiestis,"Vilnius, Senamiestis, Žemaitijos g., 2 rooms flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-zemaitijos-g-zemaitijos-g-randasi-paciame-vilniaus-4-1105405/,5,6,38 m²,570 €,2,1,4,1860,Brick,Gas,,90 m,240 m,90 m,120 m
