city,division,description,link,House No.,Flat No.,Area,Price per month,Number of rooms,Floor,No. of floors,Build year,Building type,Heating system,energy_class,Nearest kindergarten,Nearest educational institution,Nearest shop,Public transport stop
,,,,,,,,,,,,,,,,,,
Vilnius,Naujamiestis,"Vilnius, Naujamiestis, Statybininkų g., 3 rooms flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-statybininku-g-nuomojamas-3-kambariu-butas-naujamiestyje-4-1009035/,,,57 m²,400 €,,1,1,1964,Monolithic,Central,1 Class Good (1-3),90 m,80 m,210 m,220 m
Vilnius,Naujamiestis,"Vilnius, Naujamiestis, Eglių g., 3 rooms flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-egliu-g-isnuomojamas-kokybiskai-irengtas-butas-4-525576/,,,70 m²,599 €,,5,6,1994,Brick,Central,,260 m,300 m,360 m,400 m
Vilnius,Senamiestis,"Vilnius, Senamiestis, Naugarduko g., 3 rooms flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-naugarduko-g-jaukus-naujas-butas-naujame-pastate-vilniaus-4-982095/,2A,,55 m²,1 700 €,,2,5,2019,Brick,Central,,180 m,250 m,70 m,130 m
Vilnius,Senamiestis,"Vilnius, Senamiestis, Liejyklos g., 3 rooms flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-liejyklos-g-isnuomoju-naujai-suremontuota-3-kambariu-2-4-726643/,4,,60 m²,1 350 €,,1,2,1940,Brick,Electric,,190 m,180 m,280 m,280 m
Vilnius,Senamiestis,"Vilnius, Senamiestis, Pylimo g., 3 rooms flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-pylimo-g-naujas-skoningai-irengtas-butas-2017m-4-976667/,36,,"55,2 m²",1 350 €,,4,4,"1958 construction, 2017 renovation",Brick,Electric,1 Class Good (1-3),140 m,240 m,80 m,90 m
Vilnius,Senamiestis,"Vilnius, Senamiestis, Žemaitijos g., 3 rooms flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-zemaitijos-g-butas-ka-tik-po-remonto-2-miegamieji-4-1053727/,3,,60 m²,1 350 €,,3,4,1900,Brick,"Electric, other",,90 m,250 m,80 m,120 m
Vilnius,Senamiestis,"Vilnius, Senamiestis, Didžioji g., 3 rooms flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-didzioji-g-nuomoju-naujai-suremontuota-ir-skoningai-4-619201/,11,,58 m²,1 350 €,,2,4,2016,Brick,Central,1 Class Good (1-3),430 m,190 m,180 m,200 m
Vilnius,Senamiestis,"Vilnius, Senamiestis, Klaipėdos g., 3 rooms flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-klaipedos-g-itin-jaukus-ir-grazus-butas-senamiestyje-4-980491/,7,,50 m²,1 350 €,,2,3,1940,Brick,"Central, gas",,100 m,200 m,240 m,120 m
Vilnius,Senamiestis,"Vilnius, Senamiestis, Bokšto g., 3 rooms flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-boksto-g-jaukus-grazus-butas-senamiestyje-su-balkonu-4-978589/,8,,63 m²,1 250 €,,2,3,1940,Brick,Central,,480 m,40 m,220 m,110 m
